Jacarepaguá,JacarepaguaSCB,Jacarepaguá Historic 2012 SCB,8,3300,Historic,3.3,40,Circuit
Jacarepaguá,JacarepaguaSHORT,Jacarepaguá Historic 2012 Short,7,3040,Historic,3.04,40,Circuit
Jerez,Jerez_Standard,Jerez Moto,13,4410,Grade 3,4.41,42,Circuit
Jerez,Jerez_2019,Jerez Chicane,15,4420,Grade 1,4.42,40,Circuit
Jerez,jerez_1988,Jerez Historic 1988,16,4210,Historic,4.21,32,Circuit
Kansai,Kansai_GP,Kansai GP,19,5810,Grade 1,5.81,48,Circuit
Kansai,Kansai_West,Kansai West,11,3460,Grade 3,3.46,26,Circuit
Kansai,Kansai_East,Kansai East,10,2240,Grade 3,2.24,48,Circuit
Kansai,Kansai_Classic,Kansai Classic,19,5820,Grade 2,5.82,48,Circuit
Kyalami,kyalami_2019,Kyalami,15,4520,Grade 2,4.52,48,Circuit
Kyalami,kyalami_historic,Kyalami Historic 1976,9,4040,Historic,4.04,26,Circuit
Laguna Seca,laguna_seca_2020,Laguna Seca 2020,11,3600,Grade 2,3.6,48,Circuit
Le Mans,le_mans_24h,Circuit des 24 Heures du Mans,38,13620,Grade 2,13.62,60,Circuit
Le Mans,le_mans_24h_2005,Circuit des 24 Heures du Mans Historic 2005,38,13650,Grade 2,13.65,48,Circuit
Le Mans,le_mans_bugatti,Le Mans Circuit Bugatti,14,4180,Grade 2,4.18,32,Circuit
Londrina,Londrina,Londrina Short,10,3020,Grade 3,3.02,48,Circuit
Londrina,Londrina_long,Londrina Long,10,3140,Grade 3,3.14,48,Circuit
Londrina,Londrinakart1,Londrina Kart One,10,1000,Kart,1,28,Kart
Londrina,Londrinakart2,Londrina Kart Two,11,860,Kart,0.86,28,Kart
Long Beach,Long_Beach,Long Beach,11,3160,Grade 3,3.16,48,Circuit
Long Beach,Long_Beach_STT,Long Beach STT,11,3160,Grade 3,3.16,20,Circuit
Montreal,montrealmodern,Montreal,14,4360,Grade 1,4.36,40,Circuit
Montreal,MontrealHistoric_1991,Montreal Historic 1991,16,4430,Historic,4.43,40,Circuit
Montreal,montrealhistoric,Montreal Historic 1988,16,4430,Historic,4.43,40,Circuit
Monza,Monza_2020,Monza,11,5790,Grade 1,5.79,48,Circuit
Monza,Monza_2020_Junior,Monza Junior,4,2400,Grade 3,2.4,32,Circuit
Monza,Monza_1991,Monza Historic 1991,14,5800,Historic,5.8,32,Circuit
Monza,Monza_1971,Monza Historic 1971,7,5750,Historic,5.75,26,Circuit
Monza,Monza_1971_Junior,Monza Historic 1971 Junior,4,2400,Historic,2.4,26,Circuit
Monza,Monza_1971_10k,Monza Historic 1971 10K,16,10100,Historic,10.1,26,Circuit
Monza,Monza_1971_10knc,Monza Historic 1971 10K (no chicane),9,10000,Historic,10,26,Circuit
Monza,Monza_2020_STT,Monza STT,4,2040,Grade 3,2.04,20,Circuit
Mosport,mosport,Mosport,10,3950,Grade 2,3.95,48,Circuit
Nürburgring,nordschleife_2025,Nordschleife 2025,73,20830,Grade 3,20.83,28,Circuit
Nürburgring,Nordschleife_2020,Nordschleife 2020,73,20830,Grade 3,20.83,28,Circuit
Nürburgring,Nurb_1921_Beton,Betonschleife Historic 1971,7,2390,Historic,2.39,32,Circuit
Nürburgring,nordschleife_2025_24hr,Nordschleife 24 Hour 2025,88,25370,Grade 3,25.37,48,Circuit
Nürburgring,nordschleife_2020_24hr,Nordschleife 24 Hour 2020,88,25370,Grade 3,25.37,48,Circuit
Nürburgring,Nurb_2020_RX,Nürburgring RX,6,1020,Rallycross,1.02,8,Rallycross
Nürburgring,Nurb_GP_2025,Nürburgring GP 2025,15,5140,Grade 1,5.14,48,Circuit
